TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"5,00","0,00","2,08","150,00","150,00","-11,46","2,22","0,00"
"5,00","0,00","2,13","150,00","150,00","-22,92","3,14","0,00"
"5,00","0,00","2,09","150,00","150,00","-34,38","3,84","0,00"
"5,00","0,00","2,05","150,00","150,00","-45,84","4,43","0,00"
"5,00","0,00","2,02","150,00","150,00","-57,30","4,95","0,00"
"5,00","0,00","2,04","150,00","150,00","-67,61","5,14","0,00"
"5,00","0,00","2,05","150,00","150,00","-67,61","4,64","0,00"
"5,00","0,00","2,06","150,00","150,00","-67,61","4,08","0,00"
"5,00","0,00","2,06","150,00","150,00","-67,61","3,47","0,00"
"5,00","0,00","2,06","150,00","150,00","-67,61","3,47","0,00"
"5,00","0,00","2,06","210,00","151,03","-67,61","3,47","20,00"
"5,00","0,00","2,05","210,00","156,83","-67,61","3,47","30,00"
"5,00","0,00","2,03","210,00","166,66","-69,90","3,47","18,00"
"5,00","0,00","2,03","210,00","175,91","-71,62","3,47","5,00"
"5,00","0,00","2,00","210,00","183,17","-75,63","3,47","5,00"
"5,00","0,00","1,96","210,00","189,23","-80,00","3,21","1,00"
"5,00","0,00","1,91","210,00","194,14","-80,00","3,74","1,00"
"5,00","0,00","1,82","210,00","198,06","-71,98","4,35","-1,00"
"5,00","0,00","1,65","210,00","201,16","-60,52","4,88","-1,00"
"5,00","0,00","1,41","210,00","203,68","-49,06","5,35","-3,00"
"5,00","0,00","1,16","210,00","205,64","-37,60","5,79","-3,00"
"5,00","0,00","1,07","210,00","207,19","-26,14","6,19","-3,00"
"5,00","0,00","1,00","210,00","208,42","-14,68","6,57","-3,00"
"5,00","0,00","0,94","210,00","209,39","-3,22","6,93","-3,00"
"5,00","0,00","0,89","210,00","210,14","8,24","7,27","-4,00"
"5,00","0,00","0,85","210,00","210,67","19,69","7,59","-4,00"
"5,00","0,00","0,81","210,00","211,00","31,15","7,90","-2,00"
"5,00","0,00","0,77","210,00","211,22","42,61","8,20","-2,00"
"5,00","0,00","0,73","210,00","211,36","54,07","8,49","-2,00"
"5,00","0,00","0,70","210,00","211,45","65,53","8,71","0,00"
"5,00","0,00","0,67","210,00","211,53","71,83","8,43","0,00"
"5,00","0,00","0,64","210,00","211,60","71,83","8,14","0,00"
"5,00","0,00","0,62","210,00","211,68","71,83","7,84","0,00"
"5,00","0,00","0,59","210,00","211,75","71,83","7,53","-2,00"
"5,00","0,00","0,57","210,00","211,79","71,83","7,20","-2,00"
"5,00","0,00","0,55","210,00","211,78","71,83","6,86","-2,00"
"5,00","0,00","0,53","210,00","211,74","71,83","6,50","0,00"
"5,00","0,00","0,51","210,00","211,70","71,83","6,11","0,00"
"5,00","0,00","0,49","210,00","211,67","71,83","5,70","0,00"
"5,00","0,00","0,47","210,00","211,63","71,83","5,26","0,00"
"5,00","0,00","0,45","210,00","211,59","71,83","4,77","0,00"
"5,00","0,00","0,44","210,00","211,55","71,83","4,23","0,00"
"5,00","0,00","0,42","210,00","211,51","71,83","3,61","0,00"
"5,00","0,00","0,40","210,00","211,47","71,83","2,85","1,00"
"5,00","0,00","0,39","210,00","211,45","71,83","2,48","1,00"
"5,00","0,00","0,38","210,00","211,43","71,83","2,48","1,00"
"5,00","0,00","0,36","210,00","211,42","71,83","2,48","1,00"
"5,00","0,00","0,35","210,00","211,42","71,83","2,48","1,00"
"5,00","0,00","0,33","210,00","211,43","71,83","2,48","1,00"
"5,00","0,00","0,32","210,00","211,44","71,83","2,48","1,00"
"5,00","0,00","0,31","210,00","211,46","71,83","2,48","-1,00"
"5,00","0,00","0,30","210,00","211,47","71,83","2,48","-1,00"
"5,00","0,00","0,28","210,00","211,48","71,83","2,48","-1,00"
"5,00","0,00","0,27","210,00","211,49","71,83","2,48","-1,00"
"5,00","0,00","0,26","210,00","211,48","71,83","2,48","-1,00"
"5,00","0,00","0,25","210,00","211,48","71,83","2,48","-1,00"
"5,00","0,00","0,24","210,00","211,47","71,83","2,48","-1,00"
"5,00","0,00","0,22","210,00","211,46","71,83","2,48","-1,00"
"5,00","0,00","0,21","210,00","211,44","71,83","2,48","-1,00"
"5,00","0,00","0,20","210,00","211,42","71,83","2,48","-1,00"
